Default Channel Grouping,Date,Sessions
Organic Search,3/20/2017,30998.00
Paid Search,10/30/2017,92994.00
Social,3/30/2017,7742.00
Organic Search,7/23/2017,30891.00
Direct,12/12/2016,15436.00
Organic Search,12/5/2016,30797.00
(Other),11/19/2017,30766.00
Direct,12/15/2016,15380.00
Referral,12/6/2017,122912.00
Organic Search,3/23/2017,30715.00
Organic Search,3/24/2017,30690.00
Direct,12/29/2016,15333.00
Paid Search,7/12/2017,91826.00
Direct,11/25/2016,15292.00
Paid Search,1/1/2017,91751.00
Organic Search,12/27/2016,30540.00
Referral,3/26/2017,122133.00
Direct,9/7/2017,15251.00
Direct,7/18/2017,15245.00
Direct,12/7/2016,15235.00
Direct,9/1/2017,15188.00
Direct,9/24/2017,15182.00
Organic Search,7/28/2017,30358.00
Direct,9/27/2017,15172.00
Direct,7/19/2017,15151.00
Paid Search,9/5/2017,90884.00
(Other),11/15/2017,30251.00
Organic Search,3/29/2017,30175.00
Paid Search,4/6/2017,90338.00
Organic Search,8/6/2017,30100.00
Paid Search,8/30/2017,90281.00
Paid Search,5/6/2017,90262.00
Organic Search,3/28/2017,30062.00
Paid Search,5/5/2017,90036.00
Organic Search,12/6/2016,30000.00
Direct,4/15/2017,14984.00
Organic Search,3/21/2017,29943.00
Referral,12/4/2017,119747.00
(Other),11/4/2017,29912.00
Organic Search,3/25/2017,29905.00
Referral,4/10/2017,119446.00
Organic Search,3/19/2017,29817.00
Social,4/25/2017,7448.00
Direct,1/2/2017,14877.00
Direct,8/9/2017,14865.00
Paid Search,5/13/2017,88812.00
Organic Search,12/31/2017,29560.00
(Other),6/12/2017,29516.00
Paid Search,11/3/2017,88548.00
Organic Search,7/1/2017,29485.00
Paid Search,12/25/2016,88378.00
Paid Search,10/31/2017,88303.00
Organic Search,7/16/2017,29428.00
Direct,2/21/2017,14711.00
Direct,7/6/2017,14701.00
Direct,7/11/2017,14701.00
Direct,7/10/2017,14689.00
Direct,6/24/2017,14680.00
Direct,7/14/2017,14658.00
Direct,3/30/2017,14654.00
Direct,7/20/2017,14645.00
Organic Search,3/22/2017,29290.00
Direct,8/1/2017,14639.00
Organic Search,1/5/2017,29259.00
Direct,12/13/2016,14614.00
Direct,12/28/2016,14601.00
Organic Search,3/17/2017,29127.00
Paid Search,11/2/2017,87342.00
Referral,11/22/2017,116381.00
Referral,3/27/2017,116356.00
Direct,7/7/2017,14523.00
Direct,7/21/2017,14510.00
Organic Search,3/2/2017,28970.00
Paid Social,1/5/2018,28970.00
Direct,9/23/2017,14479.00
Referral,11/26/2016,115828.00
Paid Search,11/1/2017,86777.00
Direct,1/3/2017,14453.00
Direct,8/2/2017,14435.00
Display,11/7/2017,144346.00
Organic Search,12/14/2016,28863.00
Direct,9/4/2017,14413.00
Organic Search,11/3/2016,28825.00
Organic Search,7/9/2017,28819.00
Referral,8/22/2017,115276.00
Direct,8/7/2017,14387.00
Direct,3/17/2017,14384.00
Organic Search,7/3/2017,28750.00
Organic Search,2/17/2017,28744.00
Organic Search,11/18/2016,28674.00
Direct,8/3/2017,14331.00
Referral,4/8/2017,114648.00
Paid Search,6/14/2017,85797.00
Organic Search,12/8/2016,28561.00
(Other),4/10/2017,28536.00
Paid Search,1/2/2017,85515.00
Referral,12/3/2017,114020.00
Direct,6/25/2017,14246.00
Direct,7/26/2017,14246.00
Direct,7/31/2017,14237.00
Paid Search,5/21/2017,85289.00
(Other),3/11/2017,28423.00
Organic Search,7/29/2017,28386.00
Organic Search,12/12/2016,28298.00
Organic Search,3/16/2017,28298.00
Paid Search,5/22/2017,84705.00
Direct,1/19/2017,14114.00
Organic Search,1/30/2017,28203.00
Paid Search,8/31/2017,84554.00
Organic Search,12/15/2016,28166.00
Direct,4/16/2017,14058.00
Direct,12/9/2016,14039.00
Direct,12/4/2016,14030.00
Paid Search,11/28/2016,84139.00
Paid Search,6/28/2017,84121.00
(Other),11/17/2017,28034.00
Referral,8/11/2017,112085.00
Paid Search,9/2/2017,84045.00
Organic Search,3/11/2017,27984.00
Email,1/2/2018,55955.00
Paid Search,5/18/2017,83725.00
Organic Search,2/26/2017,27883.00
Display,11/30/2017,139290.00
Paid Social,12/29/2017,27846.00
Direct,1/1/2017,13885.00
Organic Search,11/27/2016,27739.00
Organic Search,2/6/2017,27739.00
Paid Search,6/12/2017,83197.00
Paid Search,6/29/2017,83103.00
Paid Search,9/8/2017,83103.00
Direct,3/29/2017,13832.00
Paid Search,4/7/2017,82934.00
Referral,10/10/2017,110528.00
Organic Search,12/29/2016,27626.00
Paid Search,9/4/2017,82821.00
Organic Search,2/21/2017,27582.00
Direct,2/7/2017,13781.00
Direct,4/3/2017,13778.00
(Other),9/10/2017,27544.00
Paid Search,9/3/2017,82632.00
Paid Search,9/7/2017,82538.00
Referral,11/26/2017,109950.00
Paid Social,12/31/2017,27475.00
Direct,12/16/2016,13731.00
Organic Search,7/2/2017,27462.00
Organic Search,3/1/2017,27437.00
Referral,10/12/2017,109724.00
Organic Search,7/8/2017,27418.00
Paid Search,6/1/2017,82218.00
Direct,7/27/2017,13675.00
Referral,9/14/2017,109398.00
Organic Search,3/4/2017,27331.00
Organic Search,12/13/2016,27324.00
Direct,3/31/2017,13643.00
Paid Search,9/1/2017,81841.00
Referral,11/25/2017,109071.00
Display,12/5/2017,136182.00
Organic Search,3/3/2017,27218.00
Direct,9/8/2017,13606.00
Organic Search,2/20/2017,27174.00
Paid Search,6/7/2017,81521.00
(Other),5/26/2017,27155.00
Organic Search,2/27/2017,27142.00
Direct,12/20/2016,13565.00
(Other),9/11/2017,27086.00
Organic Search,12/7/2016,27086.00
Organic Search,11/26/2016,27067.00
Paid Search,11/25/2016,81200.00
Display,12/4/2017,135303.00
Direct,11/3/2016,13521.00
Direct,12/11/2016,13521.00
Organic Search,3/12/2017,27004.00
Display,11/5/2017,134989.00
Organic Search,8/5/2017,26998.00
Display,11/29/2017,134957.00
Organic Search,3/13/2017,26985.00
Paid Search,5/16/2017,80955.00
Organic Search,3/18/2017,26979.00
Paid Search,5/31/2017,80880.00
Referral,12/28/2016,107815.00
Referral,11/30/2017,107790.00
Direct,12/1/2016,13461.00
Paid Search,6/26/2017,80748.00
Paid Search,7/10/2017,80598.00
Paid Search,6/5/2017,80560.00
Organic Search,3/5/2017,26847.00
Paid Search,6/4/2017,80522.00
Display,12/1/2017,134078.00
Organic Search,2/22/2017,26797.00
Paid Search,5/17/2017,80390.00
Display,12/6/2017,133921.00
Paid Search,4/8/2017,80353.00
Referral,11/15/2017,106961.00
Direct,3/27/2017,13367.00
Paid Search,5/30/2017,80183.00
Paid Search,6/19/2017,80145.00
Direct,11/27/2016,13354.00
Direct,7/1/2017,13351.00
Paid Search,6/15/2017,80108.00
(Other),3/1/2017,26665.00
Paid Search,7/15/2017,79995.00
Display,11/1/2017,133262.00
Direct,11/30/2016,13314.00
Direct,7/3/2017,13295.00
Organic Search,2/25/2017,26577.00
Paid Search,7/14/2017,79656.00
Paid Search,6/16/2017,79599.00
Paid Search,7/5/2017,79599.00
Organic Search,2/23/2017,26527.00
Referral,1/2/2018,106082.00
Email,12/19/2016,52928.00
Paid Search,4/18/2017,79392.00
Display,11/8/2017,132288.00
Email,10/25/2017,52915.00
Referral,11/28/2017,105831.00
Organic Search,3/6/2017,26451.00
Paid Search,12/26/2016,79335.00
Direct,7/22/2017,13210.00
Organic Search,2/19/2017,26414.00
Paid Search,7/11/2017,79203.00
Organic Search,2/9/2017,26376.00
Direct,7/28/2017,13182.00
Display,11/6/2017,131786.00
Paid Search,7/13/2017,79034.00
Referral,8/23/2017,105328.00
Direct,12/17/2016,13157.00
Paid Search,6/18/2017,78921.00
Direct,2/22/2017,13147.00
Direct,7/30/2017,13147.00
Direct,7/23/2017,13144.00
Organic Search,2/12/2017,26282.00
Paid Search,8/8/2017,78845.00
Direct,12/10/2016,13138.00
Direct,9/2/2017,13138.00
Display,12/3/2017,131095.00
Organic Search,3/8/2017,26169.00
Direct,8/4/2017,13072.00
Direct,7/15/2017,13066.00
Direct,3/28/2017,13053.00
Display,12/2/2017,130498.00
Display,11/4/2017,130341.00
Organic Search,3/15/2017,26068.00
Direct,7/8/2017,13031.00
Paid Search,6/6/2017,78186.00
Direct,9/3/2017,13009.00
(Other),6/21/2017,26005.00
(Other),10/25/2017,25993.00
Direct,11/26/2016,12993.00
Organic Search,2/13/2017,25974.00
Organic Search,1/22/2017,25962.00
Paid Search,7/16/2017,77885.00
Paid Search,6/27/2017,77809.00
Paid Search,7/24/2017,77772.00
Paid Social,12/30/2017,25918.00
Paid Search,6/20/2017,77715.00
Paid Search,5/23/2017,77658.00
Organic Search,12/16/2016,25848.00
Paid Search,5/29/2017,77470.00
Organic Search,2/15/2017,25805.00
Paid Search,6/23/2017,77414.00
Direct,11/29/2016,12896.00
Referral,10/13/2017,103042.00
Paid Search,6/30/2017,77263.00
Organic Search,3/7/2017,25710.00
Display,11/10/2017,128489.00
(Other),5/24/2017,25666.00
Paid Search,6/25/2017,76980.00
Referral,2/6/2017,102640.00
Email,12/23/2017,51295.00
Direct,7/16/2017,12802.00
Direct,12/26/2016,12799.00
Direct,3/26/2017,12799.00
(Other),9/9/2017,25572.00
Organic Search,11/21/2016,25572.00
Direct,1/4/2017,12777.00
Direct,3/23/2017,12777.00
Organic Search,11/22/2016,25553.00
Direct,12/27/2016,12774.00
(Other),9/17/2017,25534.00
Paid Search,7/6/2017,76509.00
Referral,11/16/2017,101987.00
(Other),5/22/2017,25472.00
Organic Search,2/24/2017,25440.00
Organic Search,7/4/2017,25440.00
Organic Search,2/18/2017,25421.00
(Other),5/23/2017,25403.00
Direct,12/3/2016,12698.00
Referral,12/17/2017,101560.00
Affiliates,1/2/2018,190378.00
Organic Search,2/16/2017,25346.00
Organic Search,12/1/2016,25334.00
Organic Search,2/5/2017,25321.00
Organic Search,2/8/2017,25315.00
Organic Search,2/1/2017,25302.00
Paid Search,7/7/2017,75888.00
Organic Search,1/27/2017,25283.00
Display,11/3/2017,126385.00
Direct,3/10/2017,12629.00
(Other),6/24/2017,25246.00
Paid Search,4/20/2017,75737.00
Paid Search,6/8/2017,75737.00
Organic Search,11/24/2016,25239.00
Social,4/5/2017,6305.00
(Other),9/16/2017,25195.00
Direct,3/16/2017,12591.00
Organic Search,12/4/2016,25177.00
Organic Search,12/30/2016,25101.00
Paid Search,4/10/2017,75266.00
Direct,12/2/2016,12541.00
(Other),8/20/2017,25026.00
Direct,1/5/2017,12497.00
Paid Search,7/17/2017,74927.00
Organic Search,2/11/2017,24969.00
Paid Search,7/9/2017,74889.00
Direct,2/20/2017,12478.00
(Other),11/23/2017,24894.00
Paid Search,6/21/2017,74663.00
Organic Search,11/30/2016,24881.00
Organic Search,2/10/2017,24875.00
Referral,12/7/2016,99450.00
Paid Search,5/25/2017,74569.00
Paid Search,6/22/2017,74512.00
Organic Search,2/3/2017,24819.00
Organic Search,2/4/2017,24819.00
Organic Search,12/9/2016,24781.00
Paid Search,6/2/2017,74324.00
Organic Search,12/11/2016,24762.00
Referral,10/24/2017,98872.00
Paid Search,6/3/2017,74117.00
Paid Search,4/9/2017,74098.00
Direct,7/9/2017,12334.00
Display,12/8/2017,123214.00
Direct,3/24/2017,12315.00
Direct,12/18/2016,12303.00
Paid Search,5/24/2017,73664.00
Social,10/12/2016,6129.00
(Other),9/13/2017,24511.00
Direct,3/20/2017,12249.00
Direct,12/25/2016,12240.00
Referral,11/29/2017,97918.00
Affiliates,1/6/2018,183360.00
Organic Search,1/31/2017,24398.00
Paid Search,7/25/2017,73156.00
Social,10/16/2016,6096.00
Direct,2/17/2017,12183.00
Organic Search,11/23/2016,24360.00
Referral,12/19/2016,97365.00
Organic Search,1/25/2017,24322.00
Direct,3/21/2017,12158.00
Direct,11/22/2016,12142.00
Direct,7/29/2017,12142.00
Paid Search,7/8/2017,72854.00
Direct,3/18/2017,12139.00
Paid Search,5/19/2017,72798.00
Direct,2/27/2017,12124.00
Paid Search,4/19/2017,72572.00
Paid Search,5/26/2017,72534.00
Organic Search,11/29/2016,24172.00
Display,1/2/2018,120702.00
Paid Search,7/26/2017,72421.00
Organic Search,12/17/2016,24121.00
Organic Search,1/17/2017,24109.00
Referral,8/29/2017,96411.00
Display,11/9/2017,120482.00
Organic Search,1/6/2017,24096.00
Organic Search,3/14/2017,24090.00
Paid Search,8/10/2017,72138.00
Referral,10/11/2017,96084.00
Referral,6/8/2017,96034.00
Referral,4/1/2017,95984.00
Direct,11/21/2016,11989.00
Display,11/28/2017,119791.00
Paid Search,7/23/2017,71837.00
Organic Search,12/2/2016,23933.00
Direct,7/2/2017,11951.00
(Other),8/19/2017,23877.00
Display,12/7/2017,119351.00
Organic Search,12/18/2016,23870.00
Paid Search,3/9/2017,71573.00
Referral,12/8/2016,95431.00
Display,1/3/2018,119226.00
Email,11/29/2017,47640.00
Paid Search,5/20/2017,71422.00
Referral,6/20/2017,95230.00
Display,12/10/2017,119006.00
Organic Search,11/20/2016,23789.00
Paid Search,12/19/2016,71215.00
Paid Search,7/27/2017,71159.00
(Other),6/25/2017,23682.00
Paid Search,6/24/2017,71027.00
Direct,2/18/2017,11828.00
Paid Search,6/17/2017,70857.00
Paid Search,6/11/2017,70838.00
Organic Search,2/14/2017,23594.00
Paid Search,7/31/2017,70725.00
Referral,9/9/2017,94275.00
(Other),5/21/2017,23563.00
Direct,4/1/2017,11775.00
Organic Search,2/2/2017,23550.00
(Other),9/12/2017,23544.00
Direct,3/22/2017,11772.00
Direct,8/6/2017,11753.00
Display,11/2/2017,117091.00
Paid Search,7/21/2017,70198.00
Paid Search,6/9/2017,70179.00
Paid Search,8/7/2017,70179.00
Direct,11/16/2016,11678.00
Paid Search,7/1/2017,70028.00
Direct,7/4/2017,11662.00
(Other),5/20/2017,23299.00
Paid Social,12/26/2017,23249.00
Referral,8/21/2017,92894.00
Direct,4/2/2017,11590.00
Display,11/16/2017,115835.00
Direct,2/19/2017,11580.00
Paid Search,7/18/2017,69482.00
Paid Search,8/9/2017,69275.00
Referral,1/2/2017,92341.00
Paid Search,4/22/2017,69237.00
(Other),11/22/2017,23054.00
Paid Search,7/30/2017,69143.00
Direct,11/18/2016,11518.00
Organic Search,2/28/2017,23022.00
Organic Search,1/26/2017,23016.00
Referral,5/3/2017,92065.00
Paid Search,7/2/2017,68936.00
Paid Search,4/11/2017,68898.00
Email,11/25/2017,45907.00
Social,10/15/2016,5737.00
Display,12/9/2017,114610.00
Paid Search,12/27/2016,68672.00
Referral,11/27/2016,91537.00
Referral,10/11/2016,91437.00
Paid Search,7/19/2017,68502.00
(Other),6/11/2017,22790.00
Social,11/7/2017,5698.00
Referral,10/10/2016,91135.00
Display,11/12/2017,113794.00
Display,11/13/2017,113762.00
Paid Search,11/27/2016,68257.00
Paid Search,7/3/2017,68257.00
Paid Search,5/27/2017,68238.00
Referral,12/1/2017,90985.00
Direct,3/15/2017,11370.00
Organic Search,1/19/2017,22734.00
Paid Search,1/3/2017,68163.00
Paid Search,4/13/2017,68163.00
Paid Search,4/17/2017,68125.00
Paid Search,7/28/2017,68107.00
Referral,5/22/2017,90759.00
Direct,3/13/2017,11332.00
Referral,3/28/2017,90583.00
Direct,3/25/2017,11295.00
Paid Search,5/28/2017,67654.00
Direct,3/1/2017,11273.00
Referral,12/7/2017,90156.00
Paid Search,8/1/2017,67504.00
Paid Search,4/14/2017,67485.00
Social,12/30/2016,5624.00
Paid Search,8/6/2017,67410.00
Paid Search,7/20/2017,67240.00
Organic Search,12/21/2016,22407.00
Organic Search,1/18/2017,22388.00
Social,10/11/2016,5591.00
Paid Search,4/21/2017,67070.00
Direct,1/30/2017,11172.00
Paid Search,12/28/2016,67014.00
Direct,3/6/2017,11166.00
Organic Search,1/28/2017,22319.00
Organic Search,11/15/2016,22300.00
Display,11/26/2017,111470.00
Organic Search,1/12/2017,22294.00
(Other),3/12/2017,22244.00
Direct,10/26/2016,11122.00
Paid Social,12/25/2017,22231.00
Social,4/6/2017,5550.00
Direct,3/11/2017,11097.00
Email,11/1/2017,44362.00
Organic Search,1/16/2017,22162.00
Direct,8/5/2017,11075.00
Paid Search,6/10/2017,66449.00
Referral,12/14/2016,88573.00
Paid Search,4/12/2017,66260.00
Direct,11/23/2016,11037.00
Organic Search,1/29/2017,22068.00
Direct,2/16/2017,11025.00
Direct,11/24/2016,11018.00
Direct,3/2/2017,11003.00
Paid Search,8/5/2017,66015.00
Paid Search,8/2/2017,65997.00
Organic Search,12/3/2016,21961.00
Paid Search,11/26/2016,65676.00
Display,11/22/2017,109366.00
Referral,10/2/2017,87493.00
Social,4/24/2017,5464.00
(Other),11/21/2017,21842.00
Paid Search,7/29/2017,65507.00
Referral,11/28/2016,87342.00
Organic Search,11/14/2016,21760.00
Social,10/13/2016,5438.00
Direct,2/9/2017,10874.00
Organic Search,12/10/2016,21741.00
Paid Search,8/3/2017,65224.00
Referral,4/20/2017,86965.00
Organic Search,11/16/2016,21697.00
(Other),6/23/2017,21691.00
Direct,2/23/2017,10839.00
Email,8/20/2017,43345.00
Paid Search,12/17/2016,64904.00
Display,11/27/2017,108142.00
(Other),6/4/2017,21591.00
Direct,12/31/2016,10795.00
Paid Search,12/8/2016,64715.00
Referral,9/5/2017,86262.00
Organic Search,1/15/2017,21553.00
Referral,8/24/2017,86187.00
Referral,11/23/2017,86187.00
(Other),6/29/2017,21534.00
Paid Search,12/29/2016,64508.00
Social,4/30/2017,5374.00
Direct,11/14/2016,10742.00
Direct,11/19/2016,10733.00
Display,10/24/2017,107294.00
Display,11/20/2017,107231.00
(Other),8/18/2017,21396.00
Direct,1/6/2017,10689.00
(Other),4/11/2017,21371.00
Display,11/17/2017,106760.00
Paid Search,12/4/2016,64056.00
Referral,4/23/2017,85408.00
Direct,3/7/2017,10673.00
Referral,12/29/2016,85383.00
Social,4/27/2017,5332.00
Direct,1/27/2017,10645.00
Organic Search,1/13/2017,21277.00
(Other),10/29/2017,21264.00
Paid Search,7/4/2017,63755.00
Referral,12/2/2017,84956.00
Referral,12/12/2016,84931.00
Referral,8/15/2017,84906.00
Paid Search,4/15/2017,63660.00
Social,4/29/2017,5303.00
Direct,12/21/2016,10598.00
Direct,3/14/2017,10598.00
Organic Search,11/17/2016,21195.00
Referral,12/9/2016,84780.00
(Other),6/22/2017,21157.00
Paid Search,12/5/2016,63472.00
Email,12/15/2017,42239.00
Organic Search,10/14/2016,21107.00
Social,11/8/2016,5266.00
Social,11/27/2016,5263.00
Referral,12/13/2016,84152.00
Display,11/19/2017,105096.00
(Other),6/30/2017,21007.00
Referral,8/16/2017,84026.00
Direct,2/12/2017,10491.00
Organic Search,11/4/2016,20981.00
Paid Search,8/4/2017,62907.00
Referral,8/18/2017,83876.00
Organic Search,11/19/2016,20963.00
Referral,10/3/2017,83825.00
Referral,3/31/2017,83800.00
Paid Search,12/11/2016,62813.00
Organic Search,1/11/2017,20931.00
(Other),11/3/2017,20906.00
Display,11/15/2017,104499.00
Direct,2/8/2017,10441.00
Referral,10/1/2017,83524.00
Referral,9/16/2017,83499.00
Direct,3/8/2017,10434.00
Paid Search,12/6/2016,62492.00
Display,11/21/2017,103997.00
Organic Search,11/8/2016,20793.00
Referral,12/4/2016,83072.00
Direct,1/23/2017,10368.00
Paid Search,12/3/2016,62153.00
Paid Search,12/10/2016,62134.00
Direct,11/20/2016,10353.00
(Other),7/1/2017,20693.00
Referral,10/15/2017,82695.00
Direct,2/15/2017,10331.00
(Other),5/4/2017,20649.00
Direct,3/19/2017,10324.00
Direct,3/3/2017,10296.00
Paid Social,12/27/2017,20592.00
Paid Search,4/16/2017,61758.00
(Other),4/6/2017,20567.00
Referral,1/4/2017,82268.00
Paid Search,12/14/2016,61569.00
Organic Search,1/9/2017,20517.00
Direct,11/8/2016,10255.00
Social,10/17/2016,5126.00
(Other),6/10/2017,20498.00
(Other),7/24/2017,20441.00
Direct,1/31/2017,10221.00
Referral,11/13/2017,81665.00
(Other),5/27/2017,20391.00
(Other),5/29/2017,20385.00
(Other),9/15/2017,20385.00
Referral,3/25/2017,81540.00
Referral,12/18/2017,81540.00
Direct,1/17/2017,10170.00
Organic Search,1/20/2017,20335.00
Paid Search,3/30/2017,60929.00
Direct,11/17/2016,10142.00
Organic Search,1/10/2017,20284.00
(Other),6/3/2017,20272.00
Paid Search,3/26/2017,60759.00
Direct,2/13/2017,10120.00
Organic Search,11/7/2016,20240.00
(Other),7/14/2017,20234.00
Direct,11/15/2016,10117.00
Referral,4/27/2017,80836.00
Organic Search,1/21/2017,20171.00
Paid Search,4/2/2017,60439.00
Referral,6/12/2017,80585.00
Display,10/23/2017,100700.00
Social,11/3/2016,5035.00
Paid Search,12/12/2016,60363.00
Paid Search,12/18/2016,60363.00
Referral,10/28/2017,80484.00
(Other),6/1/2017,20115.00
Direct,1/12/2017,10051.00
Direct,2/6/2017,10042.00
Referral,6/13/2017,80258.00
Social,12/28/2016,5016.00
(Other),6/5/2017,20002.00
(Other),7/26/2017,19989.00
Display,11/11/2017,99946.00
Social,12/29/2016,4997.00
Paid Social,12/20/2017,19977.00
Direct,1/26/2017,9985.00
Display,10/26/2017,99852.00
Paid Search,12/30/2016,59911.00
Paid Search,4/3/2017,59892.00
Paid Search,12/16/2016,59874.00
Referral,9/11/2017,79831.00
Referral,10/16/2017,79806.00
Organic Search,1/14/2017,19939.00
Display,11/24/2017,99601.00
Direct,2/28/2017,9957.00
Display,10/30/2017,99475.00
Paid Search,11/24/2016,59666.00
Direct,1/11/2017,9935.00
Paid Search,12/7/2016,59591.00
(Other),10/24/2017,19851.00
(Other),10/26/2017,19851.00
Display,10/25/2017,99193.00
Direct,1/16/2017,9916.00
Social,5/3/2017,4956.00
Social,10/24/2017,4950.00
Email,11/30/2017,39564.00
Direct,2/10/2017,9888.00
Referral,4/25/2017,78952.00
Direct,1/24/2017,9847.00
Organic Search,1/7/2017,19675.00
Display,1/4/2018,98313.00
Referral,9/17/2017,78651.00
Direct,12/22/2016,9825.00
Referral,4/24/2017,78550.00
Referral,8/27/2017,78550.00
Paid Search,3/29/2017,58894.00
Referral,10/5/2017,78525.00
Referral,5/26/2017,78500.00
Referral,11/5/2017,78475.00
Referral,10/14/2017,78450.00
Referral,12/16/2016,78349.00
Organic Search,12/31/2016,19575.00
Direct,2/2/2017,9778.00
(Other),7/18/2017,19543.00
Direct,3/12/2017,9765.00
Email,12/19/2017,39049.00
(Other),7/17/2017,19518.00
Social,4/8/2017,4880.00
Referral,10/25/2017,78048.00
Referral,5/4/2017,77998.00
Direct,11/7/2016,9721.00
(Other),9/19/2017,19430.00
Direct,2/14/2017,9715.00
Email,12/7/2017,38848.00
Social,1/2/2017,4853.00
Social,4/21/2017,4853.00
(Other),5/28/2017,19399.00
(Other),6/2/2017,19386.00
Direct,12/23/2016,9687.00
Paid Search,3/28/2017,58084.00
Direct,2/11/2017,9677.00
Direct,2/24/2017,9674.00
Direct,1/28/2017,9665.00
(Other),5/31/2017,19324.00
Direct,3/4/2017,9659.00
Paid Search,12/1/2016,57952.00
Paid Search,12/9/2016,57952.00
Display,1/5/2018,96429.00
Display,1/1/2018,96398.00
Referral,4/12/2017,77018.00
Paid Search,12/13/2016,57707.00
Direct,2/26/2017,9602.00
Paid Search,3/27/2017,57613.00
Referral,4/2/2017,76792.00
Direct,10/14/2016,9577.00
Referral,9/19/2017,76566.00
Display,11/14/2017,95644.00
Direct,1/29/2017,9549.00
Display,11/18/2017,95425.00
Paid Search,1/15/2017,57161.00
Referral,4/3/2017,76214.00
(Other),3/13/2017,19047.00
(Other),7/25/2017,18991.00
Paid Search,3/31/2017,56878.00
Direct,2/3/2017,9470.00
Direct,2/25/2017,9467.00
Social,4/26/2017,4734.00
Social,1/1/2017,4730.00
Display,10/31/2017,94451.00
Referral,11/21/2016,75561.00
(Other),3/17/2017,18884.00
Organic Search,10/17/2016,18878.00
Affiliates,1/7/2018,141206.00
Referral,11/25/2016,75285.00
(Other),7/9/2017,18815.00
Direct,2/1/2017,9404.00
Paid Search,12/15/2016,56332.00
(Other),7/23/2017,18758.00
Referral,9/6/2017,74983.00
(Other),10/15/2017,18733.00
Social,6/13/2017,4683.00
Organic Search,12/22/2016,18727.00
Social,4/7/2017,4677.00
Direct,1/13/2017,9345.00
Referral,2/17/2017,74757.00
Referral,11/7/2017,74757.00
Organic Search,10/24/2016,18670.00
Organic Search,1/8/2017,18645.00
Paid Search,1/22/2017,55917.00
Organic Search,12/23/2016,18633.00
Referral,5/30/2017,74531.00
(Other),7/2/2017,18608.00
Direct,1/18/2017,9301.00
Direct,1/10/2017,9285.00
(Other),7/8/2017,18564.00
Referral,4/26/2017,74204.00
Referral,6/5/2017,74129.00
Direct,1/25/2017,9257.00
Organic Search,11/10/2016,18513.00
(Other),5/30/2017,18507.00
Referral,4/11/2017,74029.00
Social,4/9/2017,4617.00
Paid Search,4/1/2017,55371.00
Email,11/9/2017,36801.00
Direct,3/5/2017,9188.00
Referral,11/22/2016,73476.00
Referral,6/6/2017,73426.00
Display,1/7/2018,91751.00
(Other),6/6/2017,18338.00
Display,12/28/2017,91594.00
Direct,11/10/2016,9153.00
Organic Search,10/11/2016,18287.00
(Other),11/7/2016,18262.00
Paid Search,12/2/2016,54787.00
Referral,10/4/2017,72999.00
Display,1/6/2018,91217.00
Paid Search,11/30/2016,54730.00
(Other),7/15/2017,18231.00
Social,3/31/2017,4551.00
Paid Search,1/5/2017,54579.00
Email,8/9/2017,36374.00
Organic Search,10/12/2016,18181.00
Paid Search,11/29/2016,54485.00
Referral,11/6/2017,72647.00
(Other),8/22/2017,18149.00
Referral,12/11/2017,72446.00
(Other),8/23/2017,18086.00
Referral,10/30/2017,72346.00
Direct,1/9/2017,9031.00
Social,8/16/2017,4512.00
Paid Search,11/18/2016,54108.00
Social,11/14/2016,4507.00
Direct,1/22/2017,9012.00
(Other),4/12/2017,18017.00
Email,12/11/2017,36035.00
Referral,12/15/2016,72044.00
(Other),9/20/2017,18005.00
Direct,2/4/2017,9002.00
Paid Search,1/16/2017,54014.00
Organic Search,10/22/2016,17998.00
Paid Search,3/25/2017,53958.00
Display,10/22/2017,89835.00
Referral,10/15/2016,71868.00
Referral,3/15/2017,71868.00
(Other),7/19/2017,17948.00
Direct,2/5/2017,8971.00
Direct,1/7/2017,8968.00
Organic Search,11/13/2016,17923.00
(Other),8/30/2017,17892.00
Referral,5/31/2017,71567.00
Direct,1/20/2017,8936.00
Referral,10/13/2016,71366.00
Referral,10/14/2016,71366.00
Organic Search,11/11/2016,17791.00
Referral,8/20/2017,71140.00
Paid Search,12/31/2016,53336.00
(Other),10/21/2017,17760.00
Referral,9/26/2017,71039.00
Social,1/2/2018,4438.00
Display,12/27/2017,88674.00
Email,11/26/2017,35469.00
Paid Search,1/29/2017,53185.00
Referral,9/13/2017,70914.00
(Other),6/7/2017,17722.00
Social,11/26/2016,4423.00
Social,10/18/2016,4421.00
Direct,11/4/2016,8839.00
Referral,12/11/2016,70688.00
Direct,1/14/2017,8817.00
Referral,10/12/2016,70411.00
Organic Search,10/13/2016,17584.00
Referral,10/29/2017,70286.00
(Other),8/29/2017,17553.00
(Other),10/22/2017,17546.00
Referral,11/16/2016,70110.00
Paid Search,2/7/2017,52564.00
Email,8/21/2017,35030.00
Organic Search,10/15/2016,17515.00
Referral,9/18/2017,69984.00
Paid Search,1/28/2017,52451.00
Referral,8/19/2017,69934.00
Social,11/28/2016,4369.00
Referral,6/14/2017,69683.00
Email,11/4/2016,34829.00
Organic Search,12/24/2016,17414.00
Display,11/25/2017,86915.00
Paid Search,11/20/2016,52149.00
Paid Search,1/27/2017,52074.00
(Other),6/9/2017,17352.00
Paid Search,1/14/2017,52055.00
Referral,5/8/2017,69407.00
Display,10/21/2017,86727.00
